Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
30,TEN,2,28,0.107,0,0.857,0.18,0.321,0.12,0.679,0.17,0,0.107,0.107,0,0.214,0.25,0.286,2022
31,SF,2,25,0.44,0.27,0.56,0.6,0.68,0.54,0.32,0.27,0,0.4,0.04,0.04,0.32,0.04,0.16,2022
32,CHI,2,16,0.188,0.66,0.813,0.05,0.5,0.25,0.5,0.08,0,0.188,0.125,0,0.313,0.25,0.125,2022
1,LA,4,56,0.357,0.14,0.589,0.18,0.696,0.16,0.304,0.15,0,0.357,0.054,0,0.339,0.143,0.054,2022
2,TB,4,53,0.283,0.54,0.623,0.4,0.302,0.59,0.698,0.46,0.075,0.132,0.132,0.075,0.132,0.245,0.113,2022
3,WAS,4,45,0.133,0.9,0.844,0.1,0.467,0.08,0.533,0.31,0.022,0.111,0.422,0,0.356,0.067,0,2022
4,KC,4,43,0.163,0.23,0.674,0.45,0.512,0.14,0.488,0.98,0,0.14,0.209,0.023,0.302,0.14,0.023,2022
5,BUF,4,42,0.31,0.26,0.643,0.31,0.5,0.39,0.5,0.38,0.071,0.214,0.119,0.024,0.286,0.095,0.143,2022
6,DET,4,42,0.452,0.77,0.381,0.44,0.595,0.54,0.381,1.04,0,0.429,0.024,0.024,0.119,0.048,0.19,2022
7,MIN,4,42,0.238,0.32,0.69,0.37,0.548,0.29,0.429,0.4,0.048,0.167,0.095,0.024,0.357,0.19,0.048,2022
8,IND,4,41,0.317,0.48,0.659,0.37,0.634,0.6,0.366,0.33,0,0.317,0,0,0.293,0.293,0.073,2022
9,NYJ,4,40,0.425,0.39,0.55,0.31,0.75,0.45,0.25,0.42,0,0.425,0.225,0,0.3,0,0.025,2022
10,LAC,4,40,0.4,0.78,0.575,0.4,0.475,0.9,0.525,0.21,0,0.4,0.3,0,0.075,0.075,0.125,2022
11,HOU,4,39,0.359,0.19,0.59,0.39,0.436,0.51,0.564,0.33,0.026,0.179,0.154,0.154,0.231,0.026,0.179,2022
12,MIA,4,39,0.179,0.08,0.744,0.35,0.333,0.39,0.667,0.39,0,0.154,0.256,0.026,0.154,0.179,0.154,2022
13,LV,4,39,0.205,0.48,0.744,0.25,0.538,0.28,0.462,0.29,0.051,0.103,0,0.051,0.41,0.154,0.179,2022
14,BAL,4,38,0.184,0.67,0.737,0.31,0.263,0.18,0.737,0.39,0.026,0.132,0.105,0.026,0.132,0.316,0.184,2022
15,CAR,4,38,0.079,-0.25,0.921,0.3,0.605,0.13,0.395,0.46,0,0.053,0.132,0.026,0.553,0.132,0.105,2022
16,CLE,4,38,0.263,0.32,0.579,0.23,0.526,0.33,0.474,0.46,0,0.263,0.184,0,0.263,0.105,0.026,2022
17,GB,4,37,0.514,0.1,0.459,0.88,0.757,0.22,0.243,1.23,0,0.514,0.135,0,0.243,0.081,0,2022
18,CIN,4,35,0.457,0.32,0.429,0.36,0.571,0.31,0.429,1,0.029,0.429,0.229,0,0.171,0,0.029,2022
